aba-aba	[n] arahan, instruksi, isyarat, kode, komando, perintah, petunjuk, seruan, suruhan, tanda, titah
abad	[n] era, kala, kurun, masa, periode, sepuluh dasawarsa, sepuluh dekade, seratus tahun, zaman;
abadi	[a] awet, baka, daim, infinit, kekal, langgeng, langsung, lestari, qadim, samad, tetap, wujud; \n\n[ant] sementara
abah	[n] arah, depan, hadap, haluan, jurus, tuju;
abai	[a] alpa, cabar, ceroboh, cuai, gegabah, kelipar, khilaf, lalai, leler, lengah, lupa, sembarangan, sembrono, serampangan, silap, taksir, teledor; \n\n[ant] hirau
abakus	[n] dekak-dekak, sempoa, swipoa
abal	[n] beduk, genderang, kobah, lengkara, nekara, nobat, tabuh;
abang	[n] akang, kakak, kakanda, kakang, kanda, kangmas, mas, raka, uda \n\n[ant] adik
abc	[n] 1) abjad, aksara, alfabet, alif-ba-ta, fonem, huruf, leter; \n\n2) [ki] dasar, pokok; \n\n3) halihwal, liku-liku, seluk-beluk
abdi	1) [pron] aku, ana ([cak]), awak, beta, ego, hamba, kami, saya; \n\n2) [n] amah, awang, babu, bayu, bedinde, benduan, bibi, budak, bujang, dayang, hamba, jongos, kaula, khadam, kuli, pelayan, pembantu, pramuwisma, sahaya, ulun; \n\n[ant] 1) kamu; \n\n2) juragan
abdi negara	amtenar ([cak]), aparat, pegawai negeri, pegawai pemerintah;
aben	[v] membakar , memperabukan, mengkremasi;
abjad	[n] abc, abece, aksara, alfabet, alif-bata, fonem, hiroglif, huruf, ideograf, kritogram, piktograf, tulisan;
abnormal	[a] ajaib, aneh, asing, cangga, cenanga, eksentrik, ganjil, garib, gila, invalid, istimewa, jarang, kurang, langka, miring, pelik, sedeng, sinting, taknormal \n\n[ant] normal
abnormalitas	[n] keanehan, kecacatan, keganjilan, ketaknormalan \n\n[ant] kenormalan, normalitas
abolisi	[n] pembatalan, penghapusan, peniadaan;
abonemen	[v] berlangganan, melanggani, mengebon
aborsi	[n] pengguguran
abortus	[n] guguran, keguguran, kelulusan, keluron
abrasi	[n] erosi, pengikisan
abreviasi	[n] akronim, kependekatan, kontraksi, singkatan
absah	1) [a] asli, autentik, benar, berlaku, betul, halal, legal, sah, sahih, sempurna, lulus, makbul, pasti; \n\n2) [n] isbat, penetapan, penyungguhan; \n\n3) [adv] jadi, sudah, sungguh, tentu, tepat, terang; \n\n[ant] 1) ilegal
absen	[a] bolos, mangkir ([cak]) \n\n[ant] hadir
absensi	[n] ketidakhadiran \n\n[ant] kehadiran
abses	[n] barah, bengkak, nanah, bisul, infeksi, jerawat, ketimbis, luka, radang, timbil
absolut	[a] 1) adikara, despotis, diktatorial, otoriter, sewenang-wenang, tiranis, totaliter; \n\n2) habis-habisan, mutlak, sepenuh nya, total; \n\n3) lengkap, nyata, pasti, penuh, positif, setia, suci, taat, tentu, terang \n\n[ant] 1) demokratis; \n\n2) nisbi, relatif
absorpsi	[n] pelesapan, penyerapan, perembesan, peresapan
abstrak	[a] 1) absurd, imajiner, khayali, maya, niskala, tanwujud, visioner; \n\n2) hipotetis, ideal, konseptual, teoretis, transendental; \n\n[ant] konkret
abstrak	[n] ijmal, ikhtisar, inti sari, inti, kerangka, kesimpulan, pati, pokok, rangkuman, resume, ringkasan, rumusan, sari, simpulan, sinopsis
abu	[n] abuk, bubuk, debu, duli, lebu, serbuk, tepung;
abu soda	natrium karbonat, soda kristal;
abu-abu	1) [n] abu-abu; \n\n2) [a] kelabu, kelam, pirau, samar-samar, suram
abuh	[a] bengkak, benjol, bincul
abuhan	[n] busung, gembung, kembung
abuk	[n] abu, bubuk, debu, duli, lebu, reja-reja kayu, serbuk, serdak, siring, tepung
abuk	[v] mengakui, menghaki, mengeklaim
acak	[a] arbitrer, awur, begitu saja, manasuka, rambang, random, sebarang, sembarang, serampangan, sewenang-wenang; \n\n[ant] tertentu
acak-acakan	[a] 1) awut-awutan, berantakan, berarakan, berpesai-pesai, bersepah, berserakan, bongkar-bangkir, centang-perenang, cerai-berai, kacau, kacau-balau, kelut-melut, keruntang-pukang, kibangkibut, morat-marit, porak-parik, porakporanda, sembarangan, semrawut, serabutan, serampangan, serbah-serbih, serobeh, tersara-bara; \n\n2) cepat-cepat, lekas-lekas, terburu-buru, tergesa-gesa \n\n[ant] rapi
acap	[a] kerap, rajin, selalu, sering, suka; bangat, cepat, lekas, segera; \n\n[ant] jarang
acap kali	[adv] acap-acap, acapkali, berkali-kali, berulang kali, berulang-ulang, kerap, kerapkali, kerap-kerap, sering, seringkali; \n\n[ant] kadangkala
acara	[n] 1) agenda, daftar, jadwal, kalender, kegiatan, kesibukan, program, programa, rancangan, rencana, skedul ([cak]), urusan; \n\n2) kaidah, peraturan, perkara, pokok, sistem, susunan, tata, tertib; \n\n3) hajatan, perhelatan, perjamuan, pesta;
acau	[v] berceloteh, bertura-tura, mencacau, menceracau, mengigau, mengoceh, menyanyah, menyelindur, meraban, meracau
aci	[a] benar, berlaku, jadi, legal, resmi, sah, sahih, sungguh, valid
aci	[n] bubuk, kanji, pati, serbuk, tepung
acu	[v] 1) melewa, membega, membidik, mengamang, mengarahkan, menggugat, menggugut, menodong; \n\n2) menunjuk, merujuk;
acu	[v] membentuk, mencanai, mencetak, menuang, menyelaraskan, menyesuaikan;
acuan	[n] 1) referensi, rujukan, tumpuan; \n\n2) anteseden, anutan, arketipe, cermin, ideal, kaca, model, teladan
acuan	[n] cetakan, contoh, kelebut, pola, teladan, tuangan
acuh	[v] hirau, hisab, indah, ingat, peduli;
acuh tak acuh	[a] apatis, beku, cuai, cuek ([cak]), dingin ([ki]), hambar, masa bodoh, tebal telinga
acung	[v] mengangkat tangan, tunjuk jari;
ada	1) [v] siap, sedia, terdapat, terpendam, tersedia, terselip; \n\n2) berdiri, datang, hadir, hidup, jadi, lahir, maujud, muncul, tampak, tampil, terlihat, tersua, wujud; \n\n3) [v] memegang, memiliki, mempunyai, menyimpan; \n\n4) [a] benar, betul, boleh; \n\n[ant] tiada
adab	[n] 1) adat, akhlak, budi bahasa, budi pekerti, etika, kebajikan, kehalusan, kepatuhan, kesantunan, kesopanan, kesusilaan, kultur, moral, sopan santun, tata krama, tata susila; \n\n2) cara, hukum, kebiasaan, lembaga, peraturan, resam, sifat; \n\n3) etik, etos, ideal, nilai, pandangan hidup;
adagium	[n] aforisme, pepatah, perbahasaan, peribahasa, pepatah, petitih
adakala	[adv] kadang kala, kadang-kadang, saat-saat, sekali-sekali, sesekali, terkadang, sewaktu-waktu, sporadis, suka-suka
adalah	[p] ialah, merupakan, sama dengan, yaitu, yakni
adang	[v] memegat, menahan, mencegat, menegah, menghalangi, menyekat, merintang;
adaptasi	[n] 1) aklimatisasi, habituasi, orientasi, pembiasaan, penyesuaian; \n\n2) olahan, saduran;
adapun	[p] akan halnya, mengenai, tentang hal
adat	[n] 1) budaya, etiket, istiadat, kebiasaan, kelaziman, kultur, rasam, tata cara, tradisi, sunah; \n\n2) adab, etik, nilai, norma; \n\n3) aturan, etika, hukum, institusi, konvensi, lembaga, pranata;
adat	[a] 1) marah; \n\n2) macet
adat istiadat	hukum adat, leluri, pagar adat, tali peranti;
adegan	[n] bab, babak, bagian, episode, fragmen, potongan, putaran, segmen
adem	[a] 1) dingin, lindap, sejuk, teduh; \n\n2) anyep, campah, cahang, hambar, tawar; \n\n3) damai, nyaman, tenang, tenteram;
adem ayem	[a] 1) damai, tenang, tenteram; \n\n2) beku ([ki]), mandek, mati, melempem ([ki]), pasif, sepi, stagnan ([cak])
adi	[a] biasa, lazim, teradat, terpakai, umum
adi-	[a] besar, julung, pertama, rafi, tinggi, unggul, utama
adibintang	[n] bintang lapangan, mahabintang, megabintang, superstar, diva, primadona, sripanggung
adicita	[n] ajaran, aliran, fikrah, filsafat, haluan ([ki]), ideologi, paham, pandangan, pemikiran
adidaya	[a] adikuasa
adik	[n] adimas, adinda, ading ([cak]), ari, dimas, muda, rai, yayi; \n\n[ant] abang, kakak
adikara	1) [a] absolut, diktatoral, kahar, otoriter, sewenang-wenang, tiranis, totaliter; \n\n2) [n] kekuasaan, kewenangan, kewibawaan, tanduk ([ki])
adikarya	[n] karya agung, karya besar, karya tama, klasik, mahakarya
adikuasa	[a] adidaya
adil	[a] benar, betul, jujur, lurus, merata, rata, sebanding, seimbang, saksama, selayaknya, sepantasnya, sepatutnya, setara, setimbal, setimpal, sewajarnya; \n\n[ant] berat sebelah, timpang
adiluhung	[a] klasik, luhur, mulia, tinggi
adimarga	[n] bulevar, jalan bentar, jalan besar, jalan raya
adipati	[n] bupati, tumenggung
adiraja	[n] kaisar, maharaja, raja diraja
adiratna	[n] 1) batu mulia, permata; \n\n2) ([ki]) perempuan cantik
adisiswa	[n] bintang kelas, bintang pelajar, pelajar teladan, siswa teladan
aditokoh	[n] hero, pelaku utama, protagonis, tokoh utama
adiwangsa	[n] aristokrat, bangsawan, darah biru, menak, ningrat, priyayi
adiwarna	[a] bagus, cantik, elok, indah, jelita, memesona, menawan, molek, rupawan
adjektiva	[n] kata keadaan, kata sifat
administrasi	[n] manajemen, tadbir, tata laksana, tata usaha
administrator	[n] direktur, eksekutif, manajer; pejabat, pembesar; pemimpin, penata laksana, penata usaha; pengelola, penguasa, pengurus
adolesens	[n] masa akil balig, masa puber, masa remaja, pubertas
adon	[v] memutar, mencampur, mengaduk, mengarau, mengarib, mengarun, mengebur, mengocok, meremas-remas;
adonan	[n] adukan, bancuhan, kocokan, lepa, luluhan, plester, turap
